industry,count_all_articles,percentage_all_articles,count_breach_articles,percentage_breach_articles,count_non_breach_articles,percentage_non_breach_articles
internet,52.0,22.51082251082251,3199,25.22870662460568,3147.0,25.279138886657567
computer software,17.0,7.35930735930736,319,2.5157728706624605,302.0,2.4258976624628485
hospital & health care,15.0,6.493506493506493,142,1.1198738170347005,127.0,1.0201622620290787
financial services,15.0,6.493506493506493,989,7.799684542586751,974.0,7.823921600128525
information technology and services,12.0,5.194805194805195,424,3.3438485804416405,412.0,3.3095027713069323
telecommunications,12.0,5.194805194805195,196,1.5457413249211356,184.0,1.4780303638846493
retail,10.0,4.329004329004329,530,4.17981072555205,520.0,4.1770423327174875
higher education,8.0,3.463203463203463,59,0.4652996845425867,51.0,0.40967145955498435
computer games,7.0,3.0303030303030303,43,0.3391167192429022,36.0,0.28917985380351835
airlines/aviation,7.0,3.0303030303030303,226,1.782334384858044,219.0,1.7591774439714034
entertainment,6.0,2.5974025974025974,462,3.643533123028391,456.0,3.662944814844566
marketing and advertising,5.0,2.1645021645021645,699,5.512618296529968,694.0,5.574744959434493
Other,65.0,28.138528138528137,5392,42.52365930599368,5327.0,42.79058558920396
